"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\App.js", "JavaScript", 44, 0, 0, 0, 9, 53
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\assets\assignment.svg", "XML", 0, 0, 9, 0, 1, 10
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\assets\students.svg", "XML", 0, 0, 94, 0, 1, 95
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\assets\subjects.svg", "XML", 0, 0, 9, 0, 1, 10
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\assets\time.svg", "XML", 0, 0, 9, 0, 1, 10
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\AccountMenu.js", "JavaScript", 97, 0, 0, 0, 6, 103
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\AllRights.js", "JavaScript", 26, 0, 0, 1, 5, 32
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\CustomBarChart.js", "JavaScript", 91, 0, 0, 4, 19, 114
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\CustomPieChart.js", "JavaScript", 38, 0, 0, 43, 13, 94
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\ErrorPage.js", "JavaScript", 39, 0, 0, 0, 7, 46
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\Popup.js", "JavaScript", 39, 0, 0, 0, 7, 46
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\SeeNotice.js", "JavaScript", 55, 0, 0, 0, 8, 63
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\SpeedDialTemplate.js", "JavaScript", 30, 0, 0, 0, 4, 34
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\TableTemplate.js", "JavaScript", 69, 0, 0, 0, 2, 71
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\TableViewTemplate.js", "JavaScript", 63, 0, 0, 0, 2, 65
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\attendanceCalculator.js", "JavaScript", 52, 0, 0, 0, 8, 60
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\buttonStyles.js", "JavaScript", 95, 0, 0, 0, 10, 105
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\mobileChecker.js", "JavaScript", 22, 0, 0, 17, 3, 42
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\components\styles.js", "JavaScript", 68, 0, 0, 1, 5, 74
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\index.css", "CSS", 0, 75, 0, 0, 16, 91
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\index.js", "JavaScript", 12, 0, 0, 9, 5, 26
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\ChooseUser.js", "JavaScript", 154, 0, 0, 0, 13, 167
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\Homepage.js", "JavaScript", 66, 0, 0, 2, 10, 78
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\LoginPage.js", "JavaScript", 266, 0, 0, 6, 20, 292
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\Logout.js", "JavaScript", 61, 0, 0, 0, 13, 74
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminDashboard.js", "JavaScript", 160, 0, 0, 0, 20, 180
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminEvaluationForm.js", "JavaScript", 32, 0, 0, 0, 4, 36
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminHomePage.js", "JavaScript", 90, 0, 0, 6, 11, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminProfile.js", "JavaScript", 18, 0, 0, 76, 11, 105
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\AdminRegisterPage.js", "JavaScript", 202, 0, 0, 0, 16, 218
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\SideBar.js", "JavaScript", 88, 0, 0, 0, 4, 92
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\AddClass.js", "JavaScript", 109, 0, 0, 0, 11, 120
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ClassDetails.js", "JavaScript", 256, 0, 0, 12, 27, 295
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ShowClasses.js", "JavaScript", 181, 0, 0, 4, 20, 205
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\AddNotice.js", "JavaScript", 70, 0, 0, 0, 11, 81
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\ShowNotices.js", "JavaScript", 91, 0, 0, 0, 11, 102
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\AddStudent.js", "JavaScript", 125, 0, 0, 0, 17, 142
